cell,K,n,m,rep,method,time,geom,delta,F,Fref,ref_exact,hit,gap,agree_ref,acc0,ari0,R_tm
K2-par-d2,2,200,8,14,emEM10,0.0366669429931789,par,2.0,152.39777357914767,145.2391380020409,True,False,0.0492886123918345,0.9,0.795,0.3446574030085318,116.0
K2-cross-d12,2,200,8,182,vote,0.0390062839724123,cross,12.0,185.25321068686296,184.81352011990293,True,False,0.0023791039025433,0.975,0.925,0.7210997525768822,145.0
K2-cross-d12,2,200,8,182,vote+pol,0.0391973140649497,cross,12.0,184.8301447698884,184.81352011990293,True,False,8.99536461114181e-05,0.99,0.93,0.738287013565009,145.0
K2-cross-d12,2,200,8,182,param+pol,0.0352876791730523,cross,12.0,184.83611463474813,184.81352011990293,True,False,0.0001222557463897,0.99,0.92,0.7041175396629191,145.0
K2-cross-d12,2,200,8,182,bestB,0.0296036398503929,cross,12.0,184.9021007714728,184.81352011990293,True,False,0.0004792974643432,0.985,0.915,0.6873348706367591,145.0
K2-cross-d12,2,200,8,182,bestB+pol,0.0297563560307025,cross,12.0,184.83611463474813,184.81352011990293,True,False,0.0001222557463897,0.99,0.92,0.7041175396629191,145.0
K2-cross-d12,2,200,8,182,local-vote+pol,0.0677597080357372,cross,12.0,184.86731792758064,184.81352011990293,True,False,0.0002910923813517,0.975,0.925,0.7211016006225224,145.0
K2-cross-d12,2,200,8,182,ms-vote+pol,0.1170794470235705,cross,12.0,184.8301447698884,184.81352011990293,True,False,8.99536461114181e-05,0.99,0.93,0.738287013565009,145.0
K2-cross-d12,2,200,8,182,HA10,0.0018336710054427,cross,12.0,184.8301447698884,184.81352011990293,True,False,8.99536461114181e-05,0.99,0.93,0.738287013565009,145.0
K2-cross-d12,2,200,8,182,HA10-part,0.0009866319596767,cross,12.0,184.813520119902,184.81352011990293,True,True,-4.884981308350689e-15,1.0,0.92,0.7041155790842498,145.0
K2-cross-d12,2,200,8,182,HA-tm,0.0395184049848467,cross,12.0,184.813520119902,184.81352011990293,True,True,-4.884981308350689e-15,1.0,0.92,0.7041155790842498,145.0
K2-cross-d12,2,200,8,182,emEM10,0.0045872579794377,cross,12.0,184.8657360255397,184.81352011990293,True,False,0.0002825329315891,0.985,0.925,0.7211039106451322,145.0
K2-par-m8,2,200,8,110,vote,0.0411435978021472,par,3.0,165.85925535186578,165.40855672823176,True,False,0.0027247600278292,0.985,0.91,0.6707516271210108,142.0
K2-par-m8,2,200,8,110,vote+pol,0.0413516627158969,par,3.0,165.60711829217917,165.40855672823176,True,False,0.0012004310289319,0.99,0.915,0.6873348706367591,142.0
K2-par-m8,2,200,8,110,param+pol,0.0360914648044854,par,3.0,165.4910764052171,165.40855672823176,True,False,0.0004988839671753,0.995,0.92,0.7041191804321091,142.0
K2-par-m8,2,200,8,110,bestB,0.0301971780136227,par,3.0,165.78383857302163,165.40855672823176,True,False,0.0022688176005698,0.99,0.935,0.7556783574101361,142.0
K2-par-m8,2,200,8,110,bestB+pol,0.0303673229645937,par,3.0,165.4085567282325,165.40855672823176,True,True,4.440892098500626e-15,1.0,0.925,0.7211045416690446,142.0
K2-par-m8,2,200,8,110,local-vote+pol,0.0627025838475674,par,3.0,166.1805235170002,165.40855672823176,True,False,0.0046670305577769,0.98,0.935,0.7556766990148281,142.0
K2-par-m8,2,200,8,110,ms-vote+pol,0.1256299458909779,par,3.0,166.1805235170002,165.40855672823176,True,False,0.0046670305577769,0.98,0.935,0.7556766990148281,142.0
K2-par-m8,2,200,8,110,HA10,0.0020462998654693,par,3.0,165.4085567282325,165.40855672823176,True,True,4.440892098500626e-15,1.0,0.925,0.7211045416690446,142.0
K2-par-m8,2,200,8,110,HA10-part,0.0008913869969546,par,3.0,166.1805235170002,165.40855672823176,True,False,0.0046670305577769,0.98,0.935,0.7556766990148281,142.0
K2-par-m8,2,200,8,110,HA-tm,0.0414772329386323,par,3.0,165.4085567282325,165.40855672823176,True,True,4.440892098500626e-15,1.0,0.925,0.7211045416690446,142.0
K2-par-m8,2,200,8,110,emEM10,0.010073373792693,par,3.0,181.9724361325285,165.40855672823176,True,False,0.1001391931102535,0.935,0.93,0.7383015971826288,142.0
K2-cross-m8,2,200,8,83,vote,0.0399149649310857,cross,9.0,193.16517426668477,185.29830262279984,True,False,0.0424551738064162,0.935,0.93,0.7382915392334768,149.0
K2-cross-m8,2,200,8,83,vote+pol,0.0401194731239229,cross,9.0,185.29933918802035,185.29830262279984,True,False,5.59403516287027e-06,0.995,0.9,0.6381907757010985,149.0
K2-cross-m8,2,200,8,83,param+pol,0.0376936001703143,cross,9.0,185.29830262279935,185.29830262279984,True,True,-2.4424906541753444e-15,1.0,0.895,0.6222108797424355,149.0
K2-cross-m8,2,200,8,83,bestB,0.0309437029063701,cross,9.0,187.91213892996237,185.29830262279984,True,False,0.014106099571151,0.965,0.89,0.6064319660126394,149.0
K2-cross-m8,2,200,8,83,bestB+pol,0.0311050149612128,cross,9.0,185.29830262279935,185.29830262279984,True,True,-2.4424906541753444e-15,1.0,0.895,0.6222108797424355,149.0
K2-cross-m8,2,200,8,83,local-vote+pol,0.0634873080998659,cross,9.0,185.29933918802035,185.29830262279984,True,False,5.59403516287027e-06,0.995,0.9,0.6381907757010985,149.0
K2-cross-m8,2,200,8,83,ms-vote+pol,0.1245085969567298,cross,9.0,185.29933918802035,185.29830262279984,True,False,5.59403516287027e-06,0.995,0.9,0.6381907757010985,149.0
K2-cross-m8,2,200,8,83,HA10,0.0017283221241086,cross,9.0,185.29830262279935,185.29830262279984,True,True,-2.4424906541753444e-15,1.0,0.895,0.6222108797424355,149.0
K2-cross-m8,2,200,8,83,HA10-part,0.0007889328990131,cross,9.0,185.29830262279935,185.29830262279984,True,True,-2.4424906541753444e-15,1.0,0.895,0.6222108797424355,149.0
K2-cross-m8,2,200,8,83,HA-tm,0.0403340640477836,cross,9.0,185.29830262279935,185.29830262279984,True,True,-2.4424906541753444e-15,1.0,0.895,0.6222108797424355,149.0
K2-cross-m8,2,200,8,83,emEM10,0.0048210460226982,cross,9.0,185.64695921575677,185.29830262279984,True,False,0.0018815962586913,0.985,0.89,0.6064319660126394,149.0
K2-par-d2,2,200,8,70,vote,0.0403303399216383,par,2.0,134.04335904754794,131.2186897349673,True,False,0.0215264252240732,0.975,0.865,0.5305473107184902,134.0
K2-par-d2,2,200,8,70,vote+pol,0.0405385177582502,par,2.0,131.21868973496913,131.2186897349673,True,True,1.376676550535194e-14,1.0,0.87,0.5453236755480625,134.0
K2-par-d2,2,200,8,70,param+pol,0.0361995790153741,par,2.0,131.21868973496913,131.2186897349673,True,True,1.376676550535194e-14,1.0,0.87,0.5453236755480625,134.0
