seed,method,agree_own_clean,agree_zhat_clean,ref_agree_zhat
12,TA50(a=0.25),0.9851851851851852,0.8740740740740741,0.8666666666666667
12,bestB-trim(a=0.10),0.8814814814814815,1.0,0.8733333333333333
13,HA50,0.6,0.6,1.0
13,emEM10,0.9407407407407408,0.7333333333333333,0.7933333333333333
13,vote,0.9407407407407408,0.9037037037037037,0.9133333333333333
13,median,0.8888888888888888,0.837037037037037,0.94
13,adapt,1.0,0.8740740740740741,0.8666666666666667
13,TA-rw(0.25),1.0,0.8740740740740741,0.8666666666666667
13,TA50(a=0.05),0.5481481481481482,0.6148148148148148,0.9266666666666666
13,TA50(a=0.10),0.8814814814814815,1.0,0.8733333333333333
13,TA50(a=0.25),0.9851851851851852,0.8740740740740741,0.8666666666666667
13,bestB-trim(a=0.10),0.8814814814814815,1.0,0.8733333333333333
14,HA50,0.5333333333333333,0.5333333333333333,1.0
14,emEM10,0.9407407407407408,0.7333333333333333,0.7933333333333333
14,vote,0.8592592592592593,0.9037037037037037,0.9133333333333333
14,median,0.8074074074074075,0.8666666666666667,0.94
14,adapt,1.0,0.8592592592592593,0.8666666666666667
14,TA-rw(0.25),1.0,0.8592592592592593,0.8666666666666667
14,TA50(a=0.05),0.5407407407407407,0.5333333333333333,0.9266666666666666
14,TA50(a=0.10),0.837037037037037,0.9555555555555556,0.8733333333333333
14,TA50(a=0.25),0.9925925925925926,0.8518518518518519,0.8666666666666667
14,bestB-trim(a=0.10),0.8740740740740741,0.9925925925925926,0.8733333333333333
15,HA50,0.5481481481481482,0.5481481481481482,1.0
15,emEM10,0.9481481481481482,0.7407407407407407,0.7933333333333333
15,vote,0.9111111111111111,0.9185185185185185,0.9133333333333333
15,median,0.9555555555555556,0.9629629629629629,0.94
15,adapt,0.9925925925925926,0.8444444444444444,0.8666666666666667
15,TA-rw(0.25),0.9925925925925926,0.8444444444444444,0.8666666666666667
15,TA50(a=0.05),0.725925925925926,0.8074074074074075,0.9266666666666666
15,TA50(a=0.10),0.8888888888888888,0.9407407407407408,0.8733333333333333
15,TA50(a=0.25),0.9925925925925926,0.8444444444444444,0.8666666666666667
15,bestB-trim(a=0.10),0.8814814814814815,0.9629629629629629,0.8733333333333333
16,HA50,0.5703703703703704,0.5703703703703704,1.0
16,emEM10,0.9407407407407408,0.725925925925926,0.7933333333333333
16,vote,0.8296296296296296,0.8888888888888888,0.9133333333333333
16,median,0.7703703703703704,0.8222222222222222,0.94
16,adapt,1.0,0.8592592592592593,0.8666666666666667
16,TA-rw(0.25),1.0,0.8592592592592593,0.8666666666666667
16,TA50(a=0.05),0.5555555555555556,0.6296296296296297,0.9266666666666666
16,TA50(a=0.10),0.8962962962962963,0.9703703703703703,0.8733333333333333
16,TA50(a=0.25),0.9925925925925926,0.8592592592592593,0.8666666666666667
16,bestB-trim(a=0.10),0.8962962962962963,0.9703703703703703,0.8733333333333333
17,HA50,0.6222222222222222,0.6222222222222222,1.0
17,emEM10,0.9407407407407408,0.7333333333333333,0.7933333333333333
17,vote,0.9111111111111111,0.8592592592592593,0.9133333333333333
17,median,0.8888888888888888,0.8222222222222222,0.94
17,adapt,1.0,0.8518518518518519,0.8666666666666667
17,TA-rw(0.25),1.0,0.8518518518518519,0.8666666666666667
17,TA50(a=0.05),0.5407407407407407,0.6222222222222222,0.9266666666666666
17,TA50(a=0.10),0.8592592592592593,0.9851851851851852,0.8733333333333333
17,TA50(a=0.25),0.9925925925925926,0.8444444444444444,0.8666666666666667
17,bestB-trim(a=0.10),0.8592592592592593,0.9851851851851852,0.8733333333333333
18,HA50,0.5925925925925926,0.5925925925925926,1.0
18,emEM10,0.9481481481481482,0.7481481481481481,0.7933333333333333
18,vote,0.6370370370370371,0.6888888888888889,0.9133333333333333
18,median,0.6888888888888889,0.7555555555555555,0.94
18,adapt,0.9925925925925926,0.8518518518518519,0.8666666666666667
18,TA-rw(0.25),1.0,0.8592592592592593,0.8666666666666667
18,TA50(a=0.05),0.5555555555555556,0.6370370370370371,0.9266666666666666
18,TA50(a=0.10),0.8666666666666667,1.0,0.8733333333333333
18,TA50(a=0.25),0.9925925925925926,0.8518518518518519,0.8666666666666667
18,bestB-trim(a=0.10),0.8666666666666667,1.0,0.8733333333333333
19,HA50,0.6370370370370371,0.6370370370370371,1.0
19,emEM10,0.9407407407407408,0.7333333333333333,0.7933333333333333
19,vote,0.9111111111111111,0.8592592592592593,0.9133333333333333
19,median,0.9407407407407408,0.8740740740740741,0.94
19,adapt,1.0,0.8518518518518519,0.8666666666666667
19,TA-rw(0.25),1.0,0.8518518518518519,0.8666666666666667
