geom,m,solver,rep,n,B,F_hat,t_rep,draws_per_rep,p_zhat,p_basin,frac_Q_below_half,n_Q_below_half,min_Q,mean_Q,q10,vote_agree_zhat,vote_equals_zhat,vote_gap,votepol_equals_zhat,votepol_gap,plural_ne_zstar,zhat_ne_zstar,acc0_zhat,acc0_vote,acc0_bayes,auc_vote_share,auc_plugin,n_zhat_wrong,corr_Q_margin,n_margin_0.05,n_margin_0.1,n_margin_0.2,batch_var_ratio,batch_var_ratio_n
par,6,exact,42,200,2000,164.1457622677184,0.0003522754542731,2.243,0.0015,0.2166666666666666,0.025,5,0.474,0.717635,0.56215,0.975,False,0.0051037571578278,False,0.0009763763035222,0.005,0.02,0.92,0.925,0.93,0.9234035326086956,0.9354619565217392,16,0.6831115355305133,184,167,108,1.092089749277568,200
par,6,exact,43,200,2000,190.9926482760482,0.0003586221654173,2.3655,0.005,0.0666666666666666,0.005,1,0.4985,0.7030175,0.5699,0.995,False,0.0005820805921417,True,1.5543122344752194e-15,0.01,0.015,0.92,0.925,0.925,0.8301630434782609,0.8855298913043478,16,0.56643140332408,187,169,104,0.8693076189624921,200
par,6,exact,44,200,2000,133.74076875417722,0.0003514932708647,2.2985,0.0035,0.2666666666666666,0.0,0,0.501,0.7312599999999999,0.5977,1.0,True,2.220446049250313e-15,True,2.220446049250313e-15,0.0,0.0,0.93,0.93,0.93,0.8669354838709677,0.9059139784946236,14,0.6646463814203242,189,179,125,0.9328238421804388,199
par,6,exact,45,200,2000,176.06770905695356,0.0003464503308345,2.3205,0.0035,0.6733333333333333,0.035,7,0.465,0.7149374999999999,0.5629,0.965,False,0.0247242071505637,True,1.9984014443252818e-15,0.035,0.0,0.905,0.92,0.905,0.8793253852864205,0.9104390811282348,19,0.6872116478836997,182,160,101,1.0507302554941396,195
par,6,exact,46,200,2000,165.257996226697,0.0003535921224387,2.385,0.0015,0.4433333333333333,0.01,2,0.486,0.7025075000000001,0.5521,0.99,False,0.0032201921545549,True,-4.773959005888173e-15,0.025,0.035,0.91,0.91,0.915,0.8502747252747253,0.8363858363858364,18,0.6086603439544869,180,160,95,1.0387477337248956,200
par,6,exact,47,200,2000,176.58233660680156,0.0003614410949527,2.2765,0.001,0.0533333333333333,0.005,1,0.479,0.7179575,0.55345,0.995,False,0.0003975258340351,False,0.0003975258340351,0.05,0.06,0.915,0.92,0.935,0.8858887817422051,0.926711668273867,17,0.6520889535243405,183,162,108,1.0617721334258376,197
par,6,exact,48,200,2000,162.7005815240604,0.0003548092328836,2.367,0.001,0.3433333333333333,0.005,1,0.477,0.735905,0.56295,0.995,False,0.0002594617845042,False,0.0002594617845042,0.01,0.005,0.955,0.95,0.95,0.8429319371727748,0.8464223385689355,9,0.7130517891591029,188,169,130,1.057952864120067,200
par,6,exact,49,200,2000,139.38300638205737,0.0003479278235883,2.343,0.0005,0.16,0.005,1,0.494,0.7339625000000001,0.5946,0.995,False,0.0015276892132531,True,4.884981308350689e-15,0.01,0.015,0.93,0.935,0.93,0.9070660522273426,0.9447004608294932,14,0.6680030840659549,191,179,118,1.0238559969599057,196
par,8,exact,0,200,2000,183.85927109857013,0.0003122576511744,1.25,0.0015,0.1833333333333333,0.0,0,0.5,0.7519525,0.6002500000000001,1.0,True,-2.4424906541753444e-15,True,-2.4424906541753444e-15,0.01,0.01,0.93,0.93,0.93,0.9116743471582182,0.9500768049155146,14,0.6864849325772572,187,180,141,0.9209729082527564,199
par,8,exact,1,200,2000,151.69077186786473,0.0003068503353325,1.2225,0.004,0.7333333333333333,0.0,0,0.51,0.784525,0.6361,1.0,True,4.440892098500626e-16,True,4.440892098500626e-16,0.0,0.0,0.895,0.895,0.895,0.8615323224261772,0.8693801542963554,21,0.7269711908818759,195,186,163,1.0689807436007028,196
