geom,m,solver,rep,B,gamma,n_margin,p_miss_emp,union_binom,union_hoeff,p_miss_all_emp
par,6,exact,12,25,0.2,121,0.14,0.4622132101518408,1.0,0.995
par,6,exact,12,50,0.05,186,0.7,1.0,1.0,0.995
par,6,exact,12,50,0.1,175,0.27,0.7225170325016034,1.0,0.995
par,6,exact,12,50,0.2,121,0.02,0.0273873189845366,0.380165857713432,0.995
par,6,exact,12,100,0.05,186,0.3349999999999999,0.67236644342041,1.0,0.99
par,6,exact,12,100,0.1,175,0.055,0.0804202167239516,0.6630028172233631,0.99
par,6,exact,12,100,0.2,121,0.0,0.0001564687067648,0.0040138414266742,0.99
par,6,exact,12,200,0.05,186,0.135,0.1716025258166489,0.9970324361644596,0.99
par,6,exact,12,200,0.1,175,0.0,0.0026493734907073,0.0286510336481027,0.99
par,6,exact,12,200,0.2,121,0.0,1.2578289505135301e-08,8.53429678094507e-07,0.99
par,6,exact,12,400,0.05,186,0.03,0.0283084781365441,0.1916231737940361,0.995
par,6,exact,12,400,0.1,175,0.0,7.672214756930122e-06,0.0001218957662541,0.995
par,6,exact,12,400,0.2,121,0.0,1.826850301500278e-16,7.055291553133003e-14,0.995
par,6,exact,12,1000,0.05,186,0.0,0.0004434676914066,0.0043253771374053,1.0
par,6,exact,12,1000,0.1,175,0.0,7.846636089994231e-13,2.7385613693691403e-11,1.0
par,6,exact,12,1000,0.2,121,0.0,1.4669047465704625e-39,6.768244055086205e-35,1.0
par,6,exact,13,5,0.05,182,0.97,1.0,1.0,1.0
par,6,exact,13,5,0.1,171,0.925,1.0,1.0,1.0
par,6,exact,13,5,0.2,107,0.685,1.0,1.0,1.0
par,6,exact,13,10,0.05,182,0.975,1.0,1.0,1.0
par,6,exact,13,10,0.1,171,0.915,1.0,1.0,1.0
par,6,exact,13,10,0.2,107,0.5349999999999999,1.0,1.0,1.0
par,6,exact,13,25,0.05,182,0.83,1.0,1.0,0.995
par,6,exact,13,25,0.1,171,0.62,1.0,1.0,0.995
par,6,exact,13,25,0.2,107,0.125,0.3516845878251519,1.0,0.995
par,6,exact,13,50,0.05,182,0.645,1.0,1.0,1.0
par,6,exact,13,50,0.1,171,0.3199999999999999,0.9848577700920677,1.0,1.0
par,6,exact,13,50,0.2,107,0.015,0.0206734188222096,0.2891890688539146,1.0
par,6,exact,13,100,0.05,182,0.355,0.7745892456395581,1.0,0.98
par,6,exact,13,100,0.1,171,0.0949999999999999,0.1338330552554851,1.0,0.98
par,6,exact,13,100,0.2,107,0.0,0.0001040478586808,0.0028517424131862,0.98
par,6,exact,13,200,0.05,182,0.0899999999999999,0.1748377132874078,1.0,0.955
par,6,exact,13,200,0.1,171,0.0,0.0063447470031362,0.0627428946296509,0.955
par,6,exact,13,200,0.2,107,0.0,5.67994984566177e-09,4.486762841763284e-07,0.955
par,6,exact,13,400,0.05,182,0.0,0.0199512962055751,0.1499511085401816,0.835
par,6,exact,13,400,0.1,171,0.0,3.429887204602434e-05,0.0004855766191824,0.835
par,6,exact,13,400,0.2,107,0.0,4.0691643967707806e-17,1.9823817414222182e-14,0.835
par,6,exact,13,1000,0.05,182,0.0,0.0001476981111037,0.0015385459886801,0.5
par,6,exact,13,1000,0.1,171,0.0,3.134533940112139e-11,8.388630621954215e-10,0.5
par,6,exact,13,1000,0.2,107,0.0,7.234692751872043e-41,4.883999964504073e-36,0.5
par,6,exact,14,5,0.05,179,0.98,1.0,1.0,1.0
par,6,exact,14,5,0.1,160,0.945,1.0,1.0,1.0
par,6,exact,14,5,0.2,82,0.65,1.0,1.0,1.0
par,6,exact,14,10,0.05,179,0.995,1.0,1.0,1.0
par,6,exact,14,10,0.1,160,0.925,1.0,1.0,1.0
par,6,exact,14,10,0.2,82,0.595,1.0,1.0,1.0
par,6,exact,14,25,0.05,179,0.93,1.0,1.0,1.0
par,6,exact,14,25,0.1,160,0.73,1.0,1.0,1.0
par,6,exact,14,25,0.2,82,0.135,0.3148882137242249,1.0,1.0
par,6,exact,14,50,0.05,179,0.7,1.0,1.0,1.0
par,6,exact,14,50,0.1,160,0.365,1.0,1.0,1.0
par,6,exact,14,50,0.2,82,0.01,0.0197500109550941,0.267036975642254,1.0
par,6,exact,14,100,0.05,179,0.425,1.0,1.0,1.0
