part,cell,K,n,eps,m,rep,method,n_out,acc_clean,ari_clean,perr,alpha_hat,time,p_clean_sub
a,K2-cross-leverage,2,300,0.0,8,19,TA-rw(0.25),0,0.92,0.7046142544820168,0.1103159870520429,0.0133333333333333,0.0491925370879471,1.0
a,K2-cross-leverage,2,300,0.0,8,19,TA-rw(0.40),0,0.92,0.7046142544820168,0.0981849572135939,0.0133333333333333,0.0509167939890176,1.0
a,K2-cross-leverage,2,300,0.0,8,19,bestB-trim(0.25),0,0.9166666666666666,0.6934220232595497,0.177128444526432,,0.0413171190302819,1.0
a,K2-cross-unequal,2,300,0.05,10,49,HA50,17,0.6643109540636042,0.0,24.675878797769236,,0.0072013740427792,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,49,emEM10,17,0.8833922261484098,0.5731865157102461,0.529575169095688,,0.0076837500091642,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,49,vote,17,0.9187279151943464,0.6976495726495726,0.946249289202152,,0.0468707729596644,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,49,median,17,0.9081272084805654,0.6633446311027271,1.016424800763838,,0.046426051063463,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,49,adapt,17,0.9081272084805654,0.6631062020330196,0.1059551909296128,0.0666666666666666,0.0469665890559554,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,49,adapt-sel,17,0.9081272084805654,0.6633446311027271,0.0995437342247731,0.07,0.0471745361573994,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,49,adapt-lam0,17,0.9081272084805654,0.6633446311027271,0.0995437342247731,0.07,0.0470599730033427,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,49,adapt-1st,17,0.9045936395759716,0.6516352393910683,0.1196747977700202,0.0633333333333333,0.0418934670742601,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,49,TA-rw(oracle),17,0.911660777385159,0.6746828454036421,0.0907214387584694,0.0633333333333333,0.0476124640554189,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,49,TA-rw(0.25),17,0.9045936395759716,0.6516352393910683,0.1291253609918977,0.07,0.0479632159695029,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,49,TA-rw(0.40),17,0.9151943462897526,0.6866010403827073,0.0820574051752769,0.0633333333333333,0.0493092518299818,0.5987369392383787
a,K2-cross-unequal,2,300,0.05,10,49,bestB-trim(0.25),17,0.9045936395759716,0.6518743463324318,0.164482849128232,,0.032994242850691,0.5987369392383787
a,K2-cross-leverage,2,300,0.3,8,97,HA50,92,0.5288461538461539,-0.0015013727369104,2.368337151941739,,0.0117216089274734,0.0576480099999999
